id,title,domain,object_type,authority_level,approval_status,lifecycle_status,platform_scope,confidence,verification_required,source_ref,source_location,keywords,collection_file
GEN-DEF-0005,اندازه‌ی قرارداد (Contract Size),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[4],contract size|اندازه قرارداد|مشخصات نماد,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0006,اهرم (Leverage),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[5],اهرم|leverage|مارجین,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0007,مارجین (Margin),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.9,True,tools/seed_general_trading.py,TERMS[6],مارجین|margin|وثیقه,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0008,مارجین آزاد و سطح مارجین,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[7],free margin|margin level|margin call|stop out|استاپ اوت,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0009,بالانس، اکوئیتی و شناور,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.9,True,tools/seed_general_trading.py,TERMS[8],بالانس|اکوئیتی|equity|balance|شناور,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0010,افت سرمایه (Drawdown),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[9],drawdown|افت سرمایه|ریسک,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0011,سواپ (Swap),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[10],سواپ|swap|بهره شبانه|rollover,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0012,کمیسیون (Commission),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_general_trading.py,TERMS[11],کمیسیون|commission|هزینه معامله,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0013,لغزش قیمت (Slippage),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[12],slippage|لغزش|اجرای سفارش,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0014,نقدشوندگی (Liquidity),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[13],نقدشوندگی|liquidity,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0015,نوسان (Volatility),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[14],نوسان|volatility|ATR,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0016,نسبت ریسک به ریوارد,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[15],risk reward|R:R|ریسک به ریوارد,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0017,تعیین حجم معامله (Position Sizing),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_general_trading.py,TERMS[16],position sizing|حجم معامله|مدیریت ریسک,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0018,حد ضرر (Stop Loss),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[17],stop loss|حد ضرر|SL,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0019,حد سود (Take Profit),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[18],take profit|حد سود|TP,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0020,سفارش بازار و سفارش معلق,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[19],market order|pending order|limit|stop|سفارش معلق,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0021,سشن‌های معاملاتی,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_general_trading.py,TERMS[20],سشن|session|ساعت بازار,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0022,تقویم اقتصادی و اخبار,general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,tools/seed_general_trading.py,TERMS[21],اخبار|news|تقویم اقتصادی|NFP,knowledge_base/general_trading/glossary/general_trading_glossary.json
MET-RULE-0001,متدولوژی آکادمی مرجع نهایی است,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۳ و ۴,متدولوژی|مرجعیت|authority,knowledge_base/academy/methodology/kb_policy_rules.json
MET-RULE-0002,قرنطینه‌ی روش‌های بیرونی,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۴,قرنطینه|SMC|ICT|روش بیرونی,knowledge_base/academy/methodology/kb_policy_rules.json
MET-RULE-0003,ممنوعیت ساختن دانش بدون منبع,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۵,منبع|provenance|توهم دانش,knowledge_base/academy/methodology/kb_policy_rules.json
MET-RULE-0004,پاسخ منتور به‌تنهایی قانون رسمی نمی‌شود,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۳,منتور|اعتبارسنجی|تعارض,knowledge_base/academy/methodology/kb_policy_rules.json
MET-RULE-0005,تفکیک دانش پلتفرم و دانش بروکر,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۶,MT4|MT5|بروکر|دامنه,knowledge_base/academy/methodology/kb_policy_rules.json
MET-RULE-0006,جدایی دانش از حافظه‌ی دانشجو,meta,RULE,ACADEMY_DERIVED,APPROVED,ACTIVE,,1.0,,MENTORAI_KB_CHARTER.md,بخش ۶,حریم خصوصی|PII|حافظه,knowledge_base/academy/methodology/kb_policy_rules.json
MT-CMP-0001,تفاوت انواع سفارش معلق در متاتریدر ۴ و ۵,metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.85,True,tools/seed_metatrader.py,MT-CMP-0001,pending order|stop limit|تفاوت,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-CMP-0002,تفاوت حسابداری پوزیشن (Netting / Hedging),metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.85,True,tools/seed_metatrader.py,MT-CMP-0002,netting|hedging,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-CMP-0003,تفاوت تعداد تایم‌فریم‌ها,metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.8,True,tools/seed_metatrader.py,MT-CMP-0003,timeframe|تایم فریم,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-CMP-0004,ناسازگاری اکسپرت‌ها و اندیکاتورها (MQL4 و MQL5),metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.9,True,tools/seed_metatrader.py,MT-CMP-0004,MQL4|MQL5|ex4|ex5,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-CMP-0005,تفاوت تستر استراتژی,metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.8,True,tools/seed_metatrader.py,MT-CMP-0005,strategy tester|backtest|optimization,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-CMP-0006,عمق بازار و تقویم اقتصادی داخلی,metatrader,COMPARISON,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,VERSION_DEPENDENT,0.75,True,tools/seed_metatrader.py,MT-CMP-0006,depth of market|economic calendar,knowledge_base/metatrader/comparison/mt4_vs_mt5.json
MT-TRBL-0001,خطای Invalid S/L or T/P هنگام ثبت سفارش,metatrader,TROUBLESHOOTING,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,BOTH,0.8,True,tools/seed_metatrader.py,MT-TRBL-0001,invalid stops|stops level|خطا,knowledge_base/metatrader/mt_troubleshooting.json
MT-TRBL-0002,خطای Market closed,metatrader,TROUBLESHOOTING,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,BOTH,0.85,True,tools/seed_metatrader.py,MT-TRBL-0002,market closed|ساعت بازار,knowledge_base/metatrader/mt_troubleshooting.json
MT-TRBL-0003,خطای Not enough money / کمبود مارجین,metatrader,TROUBLESHOOTING,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,BOTH,0.85,True,tools/seed_metatrader.py,MT-TRBL-0003,not enough money|margin|کمبود موجودی,knowledge_base/metatrader/mt_troubleshooting.json
MT-TRBL-0004,خطای Trade is disabled / معامله غیرفعال است,metatrader,TROUBLESHOOTING,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,BOTH,0.75,True,tools/seed_metatrader.py,MT-TRBL-0004,trade disabled|investor password,knowledge_base/metatrader/mt_troubleshooting.json
MT-TRBL-0005,خطای No connection / قطع اتصال به سرور,metatrader,TROUBLESHOOTING,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,BOTH,0.8,True,tools/seed_metatrader.py,MT-TRBL-0005,no connection|journal|قطعی,knowledge_base/metatrader/mt_troubleshooting.json
MT4-CONC-0001,حسابداری معاملات در متاتریدر ۴ (فقط Hedging),metatrader,CONCEPT,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.85,True,tools/seed_metatrader.py,MT4-CONC-0001,hedging|ticket|پوزیشن,knowledge_base/metatrader/mt4/mt4_core.json
MT4-PROC-0001,ورود به حساب معاملاتی در متاتریدر ۴,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.85,True,tools/seed_metatrader.py,MT4-PROC-0001,login|ورود|متاتریدر ۴,knowledge_base/metatrader/mt4/mt4_core.json
MT4-PROC-0002,نمایش همه‌ی نمادها در Market Watch (متاتریدر ۴),metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.85,True,tools/seed_metatrader.py,MT4-PROC-0002,show all|market watch|نماد,knowledge_base/metatrader/mt4/mt4_core.json
MT4-PROC-0003,باز کردن معامله و انواع سفارش در متاتریدر ۴,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.85,True,tools/seed_metatrader.py,MT4-PROC-0003,F9|order|pending|متاتریدر ۴,knowledge_base/metatrader/mt4/mt4_core.json
MT4-PROC-0004,تنظیم حد ضرر و حد سود روی معامله‌ی باز (متاتریدر ۴),metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.85,True,tools/seed_metatrader.py,MT4-PROC-0004,stop loss|take profit|modify order,knowledge_base/metatrader/mt4/mt4_core.json
MT4-PROC-0005,فعال‌سازی AutoTrading و اکسپرت در متاتریدر ۴,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT4_ONLY,0.8,True,tools/seed_metatrader.py,MT4-PROC-0005,expert advisor|MQL4|autotrading,knowledge_base/metatrader/mt4/mt4_core.json
MT5-CONC-0001,نوع حساب Netting و Hedging در متاتریدر ۵,metatrader,CONCEPT,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.85,True,tools/seed_metatrader.py,MT5-CONC-0001,netting|hedging|نوع حساب,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0001,ورود به حساب معاملاتی در متاتریدر ۵,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.85,True,tools/seed_metatrader.py,MT5-PROC-0001,login|ورود به حساب|server|متاتریدر ۵,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0002,نمایش نمادهای پنهان در Market Watch (متاتریدر ۵),metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.85,True,tools/seed_metatrader.py,MT5-PROC-0002,market watch|symbols|نماد|XAUUSD,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0003,باز کردن معامله و انواع سفارش در متاتریدر ۵,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.85,True,tools/seed_metatrader.py,MT5-PROC-0003,new order|F9|pending order|stop limit,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0004,تنظیم یا تغییر حد ضرر و حد سود روی معامله‌ی باز (متاتریدر ۵),metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.85,True,tools/seed_metatrader.py,MT5-PROC-0004,stop loss|take profit|modify position|toolbox,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0005,مشاهده‌ی مشخصات نماد در متاتریدر ۵,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.8,True,tools/seed_metatrader.py,MT5-PROC-0005,specification|مشخصات نماد|stops level|tick value,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0006,گزارش تاریخچه‌ی معاملات در متاتریدر ۵,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.8,True,tools/seed_metatrader.py,MT5-PROC-0006,history|report|تاریخچه|گزارش,knowledge_base/metatrader/mt5/mt5_core.json
MT5-PROC-0007,فعال‌سازی AutoTrading و اجرای اکسپرت در متاتریدر ۵,metatrader,METATRADER_PROCEDURE,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,MT5_ONLY,0.8,True,tools/seed_metatrader.py,MT5-PROC-0007,expert advisor|autotrading|MQL5|ربات,knowledge_base/metatrader/mt5/mt5_core.json
PSY-PAT-0001,FOMO (ترس از جا ماندن),psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[0],ترس از جا ماندن|FOMO|ورود هیجانی,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0002,معامله‌ی انتقامی,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[1],معامله انتقامی|revenge trading|جبران ضرر,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0003,بیش‌معامله‌گری,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[2],اورترید|overtrading|تعداد معامله,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0004,جابه‌جا کردن یا حذف حد ضرر,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[3],حد ضرر|stop loss|ریسک,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0005,خروج زودهنگام از معامله‌ی سودده,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[4],خروج زودهنگام|سود کم|R:R,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0006,افزایش ریسک پس از ضرر یا پس از برد,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[5],مارتینگل|افزایش حجم|مدیریت ریسک,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0007,اعتمادبه‌نفس کاذب پس از دوره‌ی سودده,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[6],overconfidence|اعتماد به نفس کاذب,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0008,سوگیری تأیید در تحلیل,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[7],سوگیری تأیید|confirmation bias|تحلیل,knowledge_base/psychology/psychology_patterns.json
PSY-PAT-0009,زیان‌گریزی,psychology,PSYCHOLOGY_PATTERN,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,tools/seed_psychology.py,PATTERNS[8],زیان‌گریزی|loss aversion,knowledge_base/psychology/psychology_patterns.json
