ردیف,بخش,شناسه,پرسیده‌شده,پلتفرم,نوع,عنوان,متن,تأیید (تأیید/اصلاح/حذف),توضیح شما
11,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0003,,هر دو,عیب‌یابی,خطای Not enough money / کمبود مارجین,"پیام «Not enough money» یعنی مارجین آزاد حساب برای باز کردن معامله با حجم درخواستی کافی نیست. علت معمولاً حجم بیش از حد بزرگ نسبت به موجودی، یا اشغال بودن مارجین توسط معاملات باز است.

نشانه‌ها:
- پیام Not enough money
- سفارش رد می‌شود

علت‌ها:
- حجم درخواستی نسبت به موجودی و اهرم حساب بیش از حد بزرگ است.
- بخش زیادی از مارجین توسط معاملات باز اشغال شده است.
- اهرم حساب پایین‌تر از تصور کاربر است.

راه‌حل‌ها:
- حجم معامله را کاهش دهید.
- مقدار Free Margin را در Toolbox/Terminal بررسی کنید.
- اهرم حساب را از بروکر یا مشخصات حساب بررسی کنید.
- در صورت نیاز، بخشی از معاملات باز را ببندید.",,
12,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0008,,هر دو,عیب‌یابی,اندیکاتور یا اکسپرت در Navigator دیده نمی‌شود,"اگر فایل نصب‌شده در فهرست Navigator ظاهر نمی‌شود، تقریباً همیشه فایل در پوشه‌ی اشتباه قرار گرفته یا نسخه‌ی آن با پلتفرم سازگار نیست.

نشانه‌ها:
- فایل کپی شده اما در Navigator نیست
- پس از Refresh هم چیزی اضافه نمی‌شود

علت‌ها:
- فایل در پوشه‌ی نصب کپی شده، نه در پوشه‌ی داده (Data Folder).
- فایل در زیرپوشه‌ی اشتباه است (اندیکاتور در Experts یا برعکس).
- فایل ex4 روی متاتریدر ۵ یا ex5 روی متاتریدر ۴ کپی شده است.
- فایل سورس کپی شده و هنوز کامپایل نشده است.

راه‌حل‌ها:
- از File > Open Data Folder پوشه‌ی درست را باز کنید.
- فایل را در MQL4/MQL5 و زیرپوشه‌ی درست (Experts، Indicators، Scripts) بگذارید.
- در Navigator راست‌کلیک و Refresh بزنید.
- در صورت داشتن فایل سورس، آن را در MetaEditor کامپایل کنید.
- در صورت ادامه، پلتفرم را ببندید و دوباره باز کنید.",,
13,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0009,,هر دو,عیب‌یابی,خطای Invalid volume / حجم نامعتبر,"پیام مربوط به حجم نامعتبر یعنی عدد واردشده با محدودیت‌های نماد سازگار نیست: کمتر از حداقل، بیشتر از حداکثر، یا ناهماهنگ با گام حجم.

نشانه‌ها:
- پیام Invalid volume یا Invalid trade volume
- سفارش ثبت نمی‌شود

علت‌ها:
- حجم کمتر از Volume Min یا بیشتر از Volume Max است.
- حجم مضربی از Volume Step نیست (مثلاً ۰.۰۱۵ وقتی گام ۰.۰۱ است).
- محدودیت حداکثر حجم کل باز روی نماد اعمال شده است.

راه‌حل‌ها:
- مشخصات نماد را باز کنید و Volume Min، Max و Step را ببینید.
- حجم را به نزدیک‌ترین مضرب مجاز تغییر دهید.
- برای حجم‌های بزرگ، سفارش را به چند سفارش کوچک‌تر تقسیم کنید.",,
14,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0011,,هر دو,عیب‌یابی,قیمت‌ها به‌روزرسانی نمی‌شوند با وجود اتصال,"گاهی پلتفرم متصل است اما قیمت یک نماد ثابت می‌ماند. این معمولاً یا به دلیل بسته بودن بازار همان نماد است یا نماد در حال دریافت داده‌ی زنده نیست.

نشانه‌ها:
- قیمت نماد تغییر نمی‌کند
- چارت به‌روز نمی‌شود اما اتصال برقرار است

علت‌ها:
- بازار آن نماد بسته است.
- نماد به‌تازگی نمایش داده شده و هنوز داده‌ی زنده دریافت نکرده است.
- اتصال ناپایدار است و ترمینال در حال بازیابی است.

راه‌حل‌ها:
- ساعات معاملاتی نماد را در Specification بررسی کنید.
- نماد را از Market Watch حذف و دوباره Show کنید.
- چارت را ببندید و دوباره باز کنید.
- در صورت ادامه، پلتفرم را ری‌استارت و تب Journal را بررسی کنید.",,
15,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0015,,هر دو,عیب‌یابی,خطای Old version یا درخواست به‌روزرسانی پلتفرم,"پیام «Old version» یعنی بیلد نصب‌شده‌ی پلتفرم قدیمی‌تر از بیلد موردنیاز سرور بروکر است و باید به‌روزرسانی شود.

نشانه‌ها:
- پیام Old version هنگام ورود
- قطع مکرر اتصال پس از مدتی

علت‌ها:
- بیلد پلتفرم قدیمی است.
- به‌روزرسانی خودکار به دلیل نداشتن دسترسی نوشتن انجام نشده است.

راه‌حل‌ها:
- پلتفرم را ببندید و دوباره باز کنید تا به‌روزرسانی انجام شود.
- در صورت عدم موفقیت، نصاب جدید را از سایت بروکر دانلود و روی همان مسیر نصب کنید.
- پیش از نصب مجدد، از پوشه‌ی داده پشتیبان بگیرید.",,
16,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0016,,هر دو,عیب‌یابی,مشکل دسترسی نوشتن و نصب در مسیر محافظت‌شده,"اگر پلتفرم در مسیر محافظت‌شده‌ی ویندوز نصب شده باشد، ممکن است تنظیمات، تمپلیت‌ها یا فایل‌های کپی‌شده ذخیره نشوند یا به‌روزرسانی ناقص بماند.

نشانه‌ها:
- تنظیمات پس از بستن پلتفرم ذخیره نمی‌شود
- فایل کپی‌شده در پوشه‌ی نصب دیده نمی‌شود
- به‌روزرسانی تکرار می‌شود

علت‌ها:
- نصب در مسیر Program Files بدون دسترسی کافی.
- کپی کردن فایل در پوشه‌ی نصب به‌جای پوشه‌ی داده.
- مسدود شدن فایل توسط آنتی‌ویروس.

راه‌حل‌ها:
- همیشه از File > Open Data Folder برای قرار دادن فایل‌ها استفاده کنید.
- در صورت لزوم پلتفرم را در مسیری خارج از Program Files نصب کنید.
- پلتفرم را با دسترسی مدیر اجرا کنید.
- پوشه‌ی پلتفرم را در فهرست استثناهای آنتی‌ویروس قرار دهید.",,
17,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0017,,هر دو,عیب‌یابی,کندی پلتفرم یا خراب شدن چیدمان چارت‌ها,"کند شدن شدید پلتفرم یا به‌هم‌ریختن چارت‌ها معمولاً به تعداد زیاد چارت و اندیکاتور، حجم بالای داده‌ی ذخیره‌شده یا خراب شدن پروفایل برمی‌گردد.

نشانه‌ها:
- کند شدن یا فریز شدن پلتفرم
- باز نشدن چارت‌ها پس از اجرا
- مصرف بالای پردازنده

علت‌ها:
- تعداد زیاد چارت باز با اندیکاتورهای سنگین.
- مقدار بسیار بالای Max bars in chart.
- خراب شدن فایل پروفایل.
- اجرای همزمان چند اکسپرت سنگین.

راه‌حل‌ها:
- چارت‌های غیرضروری را ببندید و اندیکاتورهای اضافه را حذف کنید.
- مقدار Max bars in chart را به عدد معقول کاهش دهید.
- یک پروفایل جدید بسازید و چارت‌ها را در آن بچینید.
- در صورت ادامه، پس از پشتیبان‌گیری از پوشه‌ی داده، پلتفرم را دوباره نصب کنید.",,
18,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0001,چند تا سناریو داشته باشم؟,هر دو,رویه,نصب پلتفرم و اجرای چند نسخه به‌صورت همزمان,"نصب متاتریدر باید از نصاب رسمی بروکر خودتان انجام شود تا سرور بروکر از قبل در فهرست باشد. برای داشتن چند حساب از چند بروکر می‌توان پلتفرم را چند بار در مسیرهای جداگانه نصب کرد؛ هر نصب پوشه‌ی داده‌ی مستقل خود را دارد.

گام‌ها:
1. نصاب پلتفرم را از سایت رسمی بروکر خود دانلود کنید.
2. برای نصب دوم، در مرحله‌ی Settings مسیر نصب متفاوتی انتخاب کنید.
3. پس از نصب، از File > Open Data Folder مطمئن شوید هر نسخه پوشه‌ی داده‌ی جدا دارد.

هشدارها:
- دانلود پلتفرم از منابع غیررسمی ریسک امنیتی جدی دارد؛ همیشه از سایت بروکر یا متاکوتس استفاده کنید.",,
19,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0002,تو دمو خوبم تو ریل بد,هر دو,رویه,ساخت حساب دمو از داخل پلتفرم,"برای تمرین بدون ریسک می‌توان مستقیماً از داخل پلتفرم یک حساب دمو ساخت. حساب دمو شرایط اجرای واقعی را کاملاً شبیه‌سازی نمی‌کند، اما برای یادگیری کار با پلتفرم و آزمایش اکسپرت مناسب است.

گام‌ها:
1. منوی File و سپس Open an Account را انتخاب کنید.
2. سرور بروکر خود را از فهرست انتخاب کنید.
3. نوع حساب دمو، ارز، مبلغ اولیه و اهرم را مشخص کنید.
4. اطلاعات حساب ساخته‌شده را ذخیره کنید؛ همان اطلاعات برای ورود مجدد لازم است.",,
20,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0003,پلنم رو عوض کنم؟,هر دو,رویه,تغییر رمز عبور حساب معاملاتی,"رمز حساب از داخل پلتفرم قابل تغییر است. هر حساب دو رمز دارد: رمز اصلی (Master) برای معامله و رمز سرمایه‌گذار (Investor) که فقط اجازه‌ی مشاهده می‌دهد.

گام‌ها:
1. منوی Tools > Options و سپس تب Server را باز کنید (یا در Navigator روی حساب راست‌کلیک کنید).
2. گزینه‌ی Change Password را بزنید.
3. برای تغییر رمز اصلی، گزینه‌ی Change master password و برای رمز مشاهده، Change investor password را انتخاب کنید.
4. رمز فعلی و رمز جدید را وارد و تأیید کنید.

هشدارها:
- اگر با رمز Investor وارد شوید، دکمه‌های معامله غیرفعال‌اند و پیام Trade is disabled می‌گیرید.",,
21,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0004,مشکلی نداره به پلنم چند مورد اضافه کنم؟ فکر کنم یک فیلتر کلی اضافه کنم برایندم فرق می‌کند.,هر دو,رویه,افزودن، تنظیم و حذف اندیکاتور روی چارت,"اندیکاتورها از پنجره‌ی Navigator یا منوی Insert > Indicators به چارت اضافه می‌شوند. برای تغییر تنظیمات یا حذف، از فهرست اندیکاتورهای همان چارت استفاده می‌شود.

گام‌ها:
1. در Navigator بخش Indicators را باز کنید یا از منوی Insert > Indicators استفاده کنید.
2. اندیکاتور را روی چارت بکشید و پارامترها و رنگ‌ها را تنظیم کنید.
3. برای ویرایش یا حذف، روی چارت راست‌کلیک و Indicators List را باز کنید (Ctrl+I).
4. اندیکاتور را انتخاب و Edit یا Delete را بزنید.",,
22,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0005,پلنم رو عوض کنم؟,هر دو,رویه,تنظیم نمایش چارت: نوع نمودار، تایم‌فریم، زوم و پیمایش,"نوع نمودار (میله‌ای، شمعی، خطی)، تایم‌فریم، بزرگ‌نمایی و نحوه‌ی پیمایش از نوار ابزار چارت کنترل می‌شوند. دو گزینه‌ی مهم: Auto Scroll که چارت را همیشه روی آخرین کندل نگه می‌دارد و Chart Shift که فضایی در سمت راست آخرین کندل باز می‌کند.

گام‌ها:
1. نوع نمودار را از نوار ابزار انتخاب کنید (Bar، Candlestick یا Line).
2. تایم‌فریم را از نوار ابزار Timeframes انتخاب کنید.
3. با کلیدهای + و − یا اسکرول ماوس بزرگ‌نمایی را تغییر دهید.
4. در صورت نیاز Auto Scroll و Chart Shift را از نوار ابزار فعال یا غیرفعال کنید.
5. برای تغییر رنگ‌ها و شبکه، کلید F8 (Chart Properties) را بزنید.",,
23,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0009,جمعه معامله کنم؟,هر دو,رویه,فعال‌سازی معامله‌ی یک‌کلیکی (One Click Trading),"با فعال کردن معامله‌ی یک‌کلیکی، پنل خرید و فروش در گوشه‌ی چارت ظاهر می‌شود و سفارش بدون پنجره‌ی تأیید ثبت می‌شود. پیش از فعال شدن باید توافق‌نامه‌ی مربوط پذیرفته شود.

گام‌ها:
1. منوی Tools > Options و تب Trade را باز کنید.
2. گزینه‌ی One Click Trading را فعال و توافق‌نامه را بپذیرید.
3. روی چارت راست‌کلیک کنید و One Click Trading را بزنید تا پنل نمایش داده شود.

هشدارها:
- در این حالت هیچ پنجره‌ی تأییدی نمایش داده نمی‌شود؛ یک کلیک اشتباه بلافاصله معامله باز می‌کند.",,
24,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0017,پلنم رو عوض کنم؟,هر دو,رویه,تنظیمات پلتفرم (پنجره‌ی Options),"پنجره‌ی Options با Ctrl+O باز می‌شود و تب‌های اصلی آن عبارت‌اند از: Server (اتصال و پروکسی)، Charts (تعداد کندل‌های ذخیره‌شده و نمایش خط Ask)، Trade (حجم پیش‌فرض، انحراف مجاز و معامله‌ی یک‌کلیکی)، Experts (اجازه‌ی معامله‌ی الگوریتمی، DLL و WebRequest)، Notifications و Email. بیلدهای جدیدتر متاتریدر ۵ تب‌های GPU، Events، AI Assistant، MCP و Community را هم دارند. نام و ترتیب تب‌ها در متاتریدر ۴ متفاوت است.

گام‌ها:
1. کلید Ctrl+O را بزنید یا Tools > Options را باز کنید.
2. تب مربوط به تنظیم موردنظر را انتخاب کنید.
3. تغییرات را اعمال و OK بزنید.",,
25,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0018,آربیتراژ یعنی چی؟,هر دو,رویه,کار با MetaEditor و کامپایل فایل‌های سورس,"MetaEditor محیط برنامه‌نویسی متاتریدر است و با کلید F4 باز می‌شود. فایل‌های سورس (mq4 یا mq5) پیش از استفاده باید کامپایل شوند تا فایل اجرایی (ex4 یا ex5) ساخته شود. خطاهای کامپایل در پنجره‌ی Errors نمایش داده می‌شوند.

گام‌ها:
1. کلید F4 را بزنید تا MetaEditor باز شود.
2. فایل سورس را از پوشه‌ی Experts یا Indicators باز کنید.
3. دکمه‌ی Compile را بزنید.
4. در صورت نبود خطا، در Navigator ترمینال Refresh بزنید تا فایل جدید دیده شود.

هشدارها:
- فایل mq4 روی متاتریدر ۵ و mq5 روی متاتریدر ۴ کامپایل نمی‌شود.",,
26,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0022,پلنم رو عوض کنم؟,هر دو,رویه,ویرایش یا حذف سفارش معلق,"سفارش معلق تا زمان فعال شدن قابل ویرایش یا حذف است. قیمت فعال‌سازی، حد ضرر، حد سود و تاریخ انقضا را می‌توان تغییر داد.

گام‌ها:
1. Toolbox/Terminal را باز کنید (Ctrl+T) و به تب Trade بروید.
2. روی سفارش معلق راست‌کلیک کنید و Modify or Delete Order را بزنید.
3. برای تغییر، مقادیر جدید را وارد و Modify را بزنید.
4. برای حذف، دکمه‌ی Delete را بزنید.

هشدارها:
- اگر قیمت به سفارش خیلی نزدیک باشد، Freeze Level بروکر می‌تواند ویرایش را موقتاً مسدود کند.
- در متاتریدر ۵ سفارش‌های معلق در تب Trade جدا از پوزیشن‌ها فهرست می‌شوند؛ در متاتریدر ۴ همه در یک فهرست‌اند.",,
27,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0014,,هر دو,رویه,کار با ترمینال موبایل,"اپلیکیشن موبایل متاتریدر امکان ورود به همان حساب، مشاهده‌ی چارت، ثبت سفارش و مدیریت معاملات را می‌دهد. معاملات باز روی سرور ثبت می‌شوند، بنابراین معامله‌ای که در موبایل باز شود در دسکتاپ هم دیده می‌شود.

گام‌ها:
1. اپلیکیشن رسمی متاتریدر ۴ یا ۵ را نصب کنید.
2. گزینه‌ی Login to an existing account را انتخاب کنید.
3. نام سرور بروکر را جست‌وجو و انتخاب کنید.
4. شماره حساب و رمز عبور را وارد کنید.

هشدارها:
- اکسپرت و اندیکاتور سفارشی روی نسخه‌ی موبایل اجرا نمی‌شوند.",,
28,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0019,,هر دو,رویه,اجرای اسکریپت روی چارت,"اسکریپت‌ها برخلاف اکسپرت‌ها فقط یک بار اجرا می‌شوند و برای کارهای تک‌مرحله‌ای مثل بستن همه‌ی معاملات یا ثبت سریع سفارش استفاده می‌شوند. اسکریپت‌ها در پوشه‌ی Scripts پوشه‌ی داده قرار می‌گیرند.

گام‌ها:
1. فایل اسکریپت را در پوشه‌ی MQL4/Scripts یا MQL5/Scripts قرار دهید.
2. در Navigator روی Scripts راست‌کلیک و Refresh بزنید.
3. اسکریپت را روی چارت بکشید و در صورت نیاز اجازه‌ی معامله را تأیید کنید.",,
29,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0015,,هر دو,رویه,کار با وب‌ترمینال,"وب‌ترمینال نسخه‌ی مرورگری متاتریدر است و بدون نصب، امکان معامله و مشاهده‌ی چارت را می‌دهد. امکانات آن محدودتر از نسخه‌ی دسکتاپ است و اکسپرت و اندیکاتور سفارشی در آن اجرا نمی‌شود.

گام‌ها:
1. آدرس وب‌ترمینال را از سایت بروکر خود باز کنید.
2. سرور، شماره حساب و رمز عبور را وارد کنید.
3. برای معامله از پنجره‌ی New Order استفاده کنید.",,
30,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0006,,هر دو,رویه,ذخیره و اعمال Template (قالب چارت),"تمپلیت مجموعه‌ی تنظیمات ظاهری، اندیکاتورها و اشیاء یک چارت را ذخیره می‌کند تا روی چارت‌های دیگر به‌سرعت اعمال شود. تمپلیتی با نام default به‌صورت خودکار روی چارت‌های جدید اعمال می‌شود.

گام‌ها:
1. روی چارت راست‌کلیک کنید و Template > Save Template را بزنید.
2. نامی برای تمپلیت انتخاب کنید.
3. روی چارت دیگر راست‌کلیک و Template > Load Template را بزنید.
4. برای اعمال خودکار روی چارت‌های جدید، تمپلیت را با نام default ذخیره کنید.",,
