source_class,category,question,answer,authority,valid_until,owner,notes
official,اکسپرت SSProX,چرا ریسکم دقیق نیست؟,"اکسپرت مقدار ریسک را کاملاً دقیق محاسبه می‌کند، اما در نهایت باید معامله را با حجمی باز کند که بروکر اجازه‌ی آن را می‌دهد. متاتریدر و بروکر اجازه‌ی باز کردن هر حجمی را نمی‌دهند؛ برای مثال ممکن است حجم دقیق موردنیاز ۰.۰۱۵ لات باشد ولی بروکر فقط ۰.۰۱ و ۰.۰۲ لات را بپذیرد.
در چنین حالتی اکسپرت مجبور است یکی از دو حجم مجاز را انتخاب کند، پس ریسک واقعی ممکن است کمی کمتر یا کمی بیشتر از مقدار تعیین‌شده شود. این طبیعی است و به معنی اشتباه بودن محاسبات اکسپرت نیست.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0010
official,اکسپرت SSProX,چرا کمتر از ریسکم باز کرد؟,"فرض کنید می‌خواهید در هر معامله ۱۰ دلار ریسک کنید. با توجه به فاصله‌ی حد ضرر، اکسپرت محاسبه می‌کند که حجم مناسب جایی بین ۰.۰۱ و ۰.۰۲ لات است:
• حجم ۰.۰۱ لات ← ریسک ۷ دلار
• حجم ۰.۰۲ لات ← ریسک ۱۴ دلار
در نسخه‌های قبلی، مهم‌ترین قانون اکسپرت این بود که تحت هیچ شرایطی از ریسک تعیین‌شده عبور نکند؛ پس همیشه ۷ دلار (حجم پایین‌تر) را انتخاب می‌کرد، حتی اگر فاصله‌اش با ۱۰ دلار بیشتر بود.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0011 | زمان‌مند: اعداد و گزینه‌ها مربوط به نسخه‌ی ۱.۳ است و در نسخه‌های بعدی ممکن است تغییر کند.
official,اکسپرت SSProX,چرا روی داوجونز فرق داره؟,"روی نمادهایی مانند داوجونز (US30) معمولاً فاصله‌ی حد ضرر بزرگ‌تر است و هر تغییر کوچک در حجم، اختلاف دلاری بیشتری ایجاد می‌کند؛ بنابراین اختلاف بین دو حجم مجاز ممکن است چند دلار شود و بیشتر به چشم بیاید.
این موضوع مخصوص داوجونز نیست و روی هر نمادی ممکن است رخ دهد، اما در نمادهایی که ارزش هر واحد حرکت قیمت بیشتر است محسوس‌تر است.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0012
official,اکسپرت SSProX,گزینه جدید نسخه ۱.۳ چیه؟,"در نسخه‌ی ۱.۳ گزینه‌ای اضافه شده تا ریسک واقعی به مقدار دلخواه نزدیک‌تر شود. شما تعیین می‌کنید اکسپرت حداکثر چه درصدی افزایش ریسک را مجاز بداند.
برای مثال با تنظیم ۱۵ درصد و ریسک تعیین‌شده‌ی ۱۰ دلار، اکسپرت اجازه دارد تا حدود ۱۱.۵ دلار ریسک کند. اگر حجم بعدی باعث شود ریسک از این محدوده بیشتر شود، اکسپرت آن را انتخاب نمی‌کند و همان حجم پایین‌تر را باز می‌کند.
مقدار پیش‌فرض: ۱۵ درصد. اگر روی صفر گذاشته شود، اکسپرت دقیقاً مثل نسخه‌های قبلی رفتار می‌کند و هرگز از ریسک تعیین‌شده عبور نمی‌کند.
این قابلیت روی معاملات Pending هم اعمال می‌شود و هیچ تغییری در استراتژی، تحلیل، حد ضرر یا حد سود ایجاد نمی‌کند — فقط مربوط به محاسبه‌ی حجم است.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0013 | زمان‌مند: اعداد و گزینه‌ها مربوط به نسخه‌ی ۱.۳ است و در نسخه‌های بعدی ممکن است تغییر کند. | مقدار پیش‌فرض ۱۵٪ است و کاربر می‌تواند آن را تغییر دهد. | با مقدار صفر، رفتار اکسپرت به نسخه‌های پیش از ۱.۳ برمی‌گردد.
official,اکسپرت SSProX,یه مثال بزن,"فرض کنید: موجودی حساب ۱۰۰۰ دلار، ریسک تعیین‌شده ۱ درصد (یعنی ریسک هدف ۱۰ دلار)، تلرانس افزایش ریسک ۱۵ درصد.
اکسپرت دو گزینه دارد:
• حجم ۰.۰۱ لات ← ریسک ۷ دلار
• حجم ۰.۰۲ لات ← ریسک ۱۱ دلار
چون ۱۱ دلار فقط ۱۰ درصد بیشتر از هدف است و زیر تلرانس ۱۵ درصد قرار می‌گیرد، اکسپرت حجم دوم را انتخاب می‌کند.
اما اگر گزینه‌ی دوم ریسک را به ۱۴ دلار می‌رساند (۴۰ درصد بیشتر از هدف)، اکسپرت آن را انتخاب نمی‌کرد.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0014 | زمان‌مند: اعداد و گزینه‌ها مربوط به نسخه‌ی ۱.۳ است و در نسخه‌های بعدی ممکن است تغییر کند.
official,اکسپرت SSProX,فعالش کنم یا نه؟,"سند رسمی هر دو حالت را مجاز می‌داند و انتخاب را به سبک مدیریت سرمایه‌ی معامله‌گر واگذار می‌کند:
• اگر ترجیح می‌دهید تحت هیچ شرایطی حتی کمی بیشتر از ریسک تعیین‌شده ضرر نکنید → غیرفعال کنید (مقدار صفر).
• اگر برایتان مهم‌تر است ریسک واقعی تا حد امکان به مقدار هدف نزدیک باشد → فعال نگه دارید.
توصیه‌ی سند: برای اکثر کاربران مقدار پیش‌فرض مناسب است و نیازی به تغییر ندارد. بالا بردن بیش از حد این عدد باعث می‌شود ریسک واقعی از برنامه‌ی مدیریت سرمایه فاصله بگیرد.",policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0015 | زمان‌مند: اعداد و گزینه‌ها مربوط به نسخه‌ی ۱.۳ است و در نسخه‌های بعدی ممکن است تغییر کند. | افزایش بیش از حد این مقدار، ریسک واقعی را از پلن مدیریت سرمایه دور می‌کند.
official,اکسپرت SSProX,فرق نسخه جدید با قبلی چیه؟,تفاوت اصلی این دو نسخه فقط در نحوه‌ی انتخاب حجم هنگام محدودیت گام حجم بروکر است.,fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0016 | زمان‌مند: اعداد و گزینه‌ها مربوط به نسخه‌ی ۱.۳ است و در نسخه‌های بعدی ممکن است تغییر کند.
official,اکسپرت SSProX,اکسپرت اشتباه حساب می‌کنه؟,شایع‌ترین برداشت غلط درباره‌ی اکسپرت این است که اختلاف بین ریسک هدف و ریسک واقعی را به خطای محاسبه نسبت می‌دهند. سند رسمی این را رد می‌کند: محاسبه درست است و اختلاف از محدودیت حجم‌های قابل معامله در بروکر می‌آید — اختلافی که در تمام نرم‌افزارهای مدیریت سرمایه هم وجود دارد. تا وقتی اختلاف در محدوده‌ی مجاز باشد، عملکرد اکسپرت صحیح است.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0017
official,اکسپرت SSProX,ریسک لاین چیه؟,Risk Line ابزاری در اکسپرت است که پیش از باز کردن معامله، محل حد ضرر را روی نمودار مشخص می‌کند. پس از تعیین محل حد ضرر، اکسپرت خودکار فاصله‌ی حد ضرر را محاسبه می‌کند و بر اساس مقدار ریسک تعیین‌شده، حجم مناسب معامله را می‌سازد.,fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0018
official,اکسپرت SSProX,چطور با اکسپرت معامله باز کنم؟,"با Risk Line دیگر نیازی به محاسبه‌ی دستی حجم نیست: فقط محل حد ضرر و مقدار ریسک را مشخص می‌کنید و اکسپرت بقیه‌ی محاسبات را انجام می‌دهد.

• روی دکمه‌ی Risk Line کلیک کنید.
• خط قرمز را روی محل حد ضرر خود قرار دهید.
• از درست بودن محل حد ضرر مطمئن شوید.
• روی دکمه‌ی Launch کلیک کنید.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0019
official,اکسپرت SSProX,اگه استاپ رو جابه‌جا کنم چی می‌شه؟,"هر بار که محل حد ضرر (یا در سفارش Pending، محل ورود) تغییر کند، اکسپرت فاصله را دوباره محاسبه و حجم معامله را متناسب با آن به‌روزرسانی می‌کند.
پس از باز شدن معامله هم می‌توانید حد ضرر و حد سود را مانند هر معامله‌ی دیگر متاتریدر به‌صورت دستی تغییر دهید.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0020
official,اکسپرت SSProX,پندینگ لاین چیه؟,"Pending Line برای زمانی است که نمی‌خواهید معامله را در قیمت فعلی باز کنید و می‌خواهید سفارش در قیمت دلخواه ثبت شود تا با رسیدن قیمت، خودکار فعال شود.
در سفارش Pending دو قیمت باید مشخص شود — محل ورود و محل حد ضرر — بنابراین اکسپرت دو خط روی نمودار نمایش می‌دهد. حجم سفارش Pending هم دقیقاً مثل معاملات Market بر اساس فاصله‌ی ورود تا حد ضرر و مقدار ریسک محاسبه می‌شود.",fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0021
official,اکسپرت SSProX,چه نوع اردری ثبت می‌کنه؟,"لازم نیست خودتان Buy Stop، Buy Limit، Sell Stop یا Sell Limit را انتخاب کنید. اکسپرت فقط محل ورود را با قیمت فعلی بازار مقایسه می‌کند و سفارش مناسب را خودکار ثبت می‌کند:
• خرید، ورود بالاتر از قیمت فعلی ← Buy Stop
• خرید، ورود پایین‌تر از قیمت فعلی ← Buy Limit
• فروش، ورود پایین‌تر از قیمت فعلی ← Sell Stop
• فروش، ورود بالاتر از قیمت فعلی ← Sell Limit
پس نیازی به حفظ کردن انواع سفارش‌های Pending نیست. اگر نوع سفارش چیزی نبود که انتظار داشتید، علتش موقعیت قیمت ورود نسبت به قیمت فعلی است.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0022
official,اکسپرت SSProX,بریک ایون کجاست؟,با فشردن این دکمه، حد ضرر معامله روی نقطه‌ی ورود قرار می‌گیرد؛ در این حالت اگر قیمت برگردد و حد ضرر فعال شود، معامله بدون سود و بدون ضرر بسته می‌شود. معمولاً وقتی استفاده می‌شود که معامله وارد سود شده و می‌خواهید از سرمایه محافظت کنید.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0023 | مربی زمان بریک‌ایون را برای کاربر تعیین نمی‌کند؛ این تصمیم متعلق به استراتژی خود اوست. | ⚠️ زمان مشخص و ثابتی برای این کار وجود ندارد و به استراتژی خود شما بستگی دارد. سند رسمی برای زمان بریک‌ایون عدد یا قاعده‌ای تعیین نمی‌کند؛ اگر قوانین استراتژی شما این زمان را مشخص کرده باشد، با یک کلیک انجام می‌شود.
official,اکسپرت SSProX,هاف کلوز چیکار می‌کنه؟,"این دکمه ۵۰ درصد حجم معامله را می‌بندد و ۵۰ درصد باقی‌مانده را باز نگه می‌دارد؛ مثلاً از حجم ۱ لات، ۰.۵ لات بسته و ۰.۵ لات باز می‌ماند.
می‌توان چند بار از آن استفاده کرد: هر بار نصف حجم باقی‌مانده بسته می‌شود.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0024
official,اکسپرت SSProX,کلوز آل چیه؟,"با فشردن این دکمه همه‌ی معاملات باز به‌صورت هم‌زمان بسته می‌شوند — برای زمانی که می‌خواهید خیلی سریع از تمام معاملات خارج شوید.
درباره‌ی سفارش‌های Pending: به تنظیمات اکسپرت بستگی دارد. اگر گزینه‌ی مربوط به حذف سفارش‌های Pending فعال باشد آن‌ها هم حذف می‌شوند؛ در غیر این صورت فقط معاملات باز بسته می‌شوند و سفارش‌های Pending باقی می‌مانند.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0025 | رفتار نسبت به سفارش‌های Pending به تنظیمات اکسپرت بستگی دارد.
official,اکسپرت SSProX,تی پی اتو چیه؟,"اگر TP Auto فعال باشد، اکسپرت هنگام باز کردن معامله حد سود را هم خودکار ثبت می‌کند و مقدارش بر اساس تنظیمات بخش Inputs است.
اگر غیرفعال باشد، اکسپرت فقط معامله را باز می‌کند و حد سودی ثبت نمی‌شود؛ در این حالت باید خودتان حد سود را تعیین کنید. پس از باز شدن معامله هم مانند هر معامله‌ی دیگر متاتریدر می‌توانید حد سود را ویرایش یا حذف کنید.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0026
official,اکسپرت SSProX,این اعداد روی چارت چیه؟,"با فعال بودن این گزینه، هنگام جابه‌جا کردن Risk Line یا Pending Line اطلاعات معامله روی نمودار نشان داده می‌شود: حجم معامله، مقدار ریسک دلاری، فاصله‌ی حد ضرر و مقدار ریسک بر اساس تنظیمات فعلی.
این اطلاعات فقط کمک‌کننده‌ی تصمیم‌گیری‌اند و روی عملکرد اکسپرت اثری ندارند؛ با غیرفعال کردن آن، اکسپرت همه‌ی محاسبات را انجام می‌دهد ولی چیزی روی چارت نشان نمی‌دهد.
گزینه‌ی «فاصله‌ی نمایش اطلاعات از سمت راست نمودار» فقط محل نمایش را جابه‌جا می‌کند و هیچ تأثیری روی محاسبات یا معاملات ندارد.",fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0027
official,اکسپرت SSProX,اگه اشتباه عدد بزنم چی؟,"این گزینه سقف ریسک هر معامله را قفل می‌کند تا خطای انسانی جلوی زیان بزرگ را بگیرد.
مثال سند: اگر هنگام باز کردن معامله به اشتباه ریسک را روی ۵ درصد بگذارید در حالی که پلن معاملاتی‌تان بیش از ۲ درصد اجازه نمی‌دهد، با تنظیم سقف روی ۲ درصد، اکسپرت اجازه‌ی باز کردن معامله با ریسک ۵ درصد را نمی‌دهد.
این قابلیت دقیقاً برای جلوگیری از اشتباهات انسانی طراحی شده است.",policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0028
official,اکسپرت SSProX,چرا حجم خیلی بزرگ شد؟,"این گزینه مشخص می‌کند اکسپرت تحت هیچ شرایطی بیشتر از حجم تعیین‌شده معامله باز نکند؛ مثلاً با سقف ۲ لات، حتی اگر محاسبات ۳ لات را نشان دهد، معامله بیش از ۲ لات باز نمی‌شود.
دلیل وجودش: گاهی به دلیل کوچک بودن فاصله‌ی حد ضرر یا اشتباه کاربر، حجم محاسبه‌شده بسیار بزرگ می‌شود؛ این گزینه جلوی باز شدن معامله با حجم غیرعادی را می‌گیرد.",policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0029
official,اکسپرت SSProX,ضرر روزانه چیه؟,"شما مشخص می‌کنید در طول یک روز حداکثر چند درصد از حساب را حاضرید از دست بدهید. اگر مجموع ضررهای همان روز به این مقدار برسد، اکسپرت دیگر اجازه‌ی باز کردن معامله‌ی جدید نمی‌دهد و بهتر است معامله را به روز بعد موکول کنید. با مقدار صفر این محدودیت غیرفعال می‌شود.
چرا مهم است: بسیاری از معامله‌گران بعد از چند معامله‌ی ناموفق از روی احساسات وارد معامله‌ی جدید می‌شوند تا ضرر را جبران کنند؛ سند رسمی این را «یکی از رایج‌ترین دلایل از دست دادن حساب معاملاتی» می‌داند. این قابلیت معاملات را متوقف می‌کند تا با آرامش شرایط بازار را دوباره بررسی کنید.",policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0030
official,اکسپرت SSProX,اسپرد چرا زیاد می‌شه؟,"اکسپرت پیش از باز کردن معامله مقدار اسپرد را بررسی می‌کند؛ اگر اسپرد از مقدار تعیین‌شده بیشتر باشد، معامله باز نمی‌شود.
اسپرد ممکن است به‌طور موقت زیاد شود در: زمان انتشار اخبار مهم اقتصادی، باز و بسته شدن بازار، ساعات کم‌حجم بازار، و نوسانات شدید. سند رسمی می‌گوید ورود به معامله در چنین شرایطی معمولاً منطقی نیست، و اگر معامله باز نشد، اسپرد می‌تواند یکی از علت‌ها باشد.",policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0031
official,اکسپرت SSProX,ریسک پیش‌فرض چطور تنظیم می‌شه؟,"ریسک پیش‌فرض معاملات: تعیین می‌کند هنگام اجرای اکسپرت، مقدار اولیه‌ی ریسک روی چند درصد باشد؛ مثلاً با تنظیم ۱ درصد، هر بار اکسپرت با ریسک ۱ درصد بالا می‌آید. پیش از هر معامله می‌توان این مقدار را تغییر داد.
برای معاملات Market و Pending می‌توان مقدار پیش‌فرض جداگانه تعیین کرد — هم برای ریسک و هم برای Take Profit.",fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0032
official,اکسپرت SSProX,میانبرها چیه؟,"Hotkey اجازه می‌دهد بدون کلیک کردن روی گزینه‌های اکسپرت، امکانات را سریع‌تر اجرا کنید — به‌ویژه وقتی نمودار شلوغ است یا ابزار اکسپرت در گوشه‌ی دیگری از صفحه است.
ابتدا باید در تنظیمات اکسپرت گزینه‌ی فعال‌سازی Hotkey روشن شود. کلیدها:
• R — فعال کردن سریع Risk Line روی نمودار
• Tab — باز کردن معامله‌ی Market پس از مشخص شدن Risk Line
• P — فعال کردن ابزار Pending Line
• Enter — ثبت سفارش Pending پس از تنظیم خطوط
• Backspace — بستن تمام معاملات باز",fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0033 | کلید Backspace بلافاصله همه‌ی معاملات باز را می‌بندد.
official,اکسپرت SSProX,کلیدهای میانبر کار نمی‌کنه,چهار مورد باید هم‌زمان برقرار باشد تا Hotkey کار کند.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0034
official,اکسپرت SSProX,چرا هیچ معامله‌ای باز نمی‌شه؟,سند رسمی پنج علت را برای باز نشدن معامله فهرست کرده است.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0035
